NAME OF DELIVERY POST OFFICE,POST CODE,ACCOUNT OFFICE,PROVINCE,POST CODE OF ATTACHED BRANCH OFFICE 
LETI,48190,Talagang GPO,Punjab,48191
LIAQAT ABAD,42000,Mianwali GPO,Punjab,42001
LIAQAT MEDICAL COLLEGE (JAMSHORO),76090,Hyderabad GPO,Sindh,76091
LIAQAT PUR,64000,Rahimyar Khan GPO,Punjab,64001
LILLA,49020,Jhelum GPO,Punjab,49021
LODHRAN,59320,Bahawalpur GPO,Punjab,59321
LOHI BHER,45710,Islamabad GPO,Federal Capital,45711
LORA,22360,Abbottabad GPO,KPK,22361
LORALAI CANTT.,84820,Loralai GPO,Balochistan,84821
LORALAI GPO,84800,Loralai GPO,Balochistan,84801
LOWER TOPA,47214,Murree GPO,Punjab,47215
LUDDAN ,61110,Vehari GPO,Punjab,61111
LUND KHAWAR,23130,Mardan GPO,KPK,23131
LUNDO,68020,Sanghar GPO,Sindh,68021
LUNJGRAN,12330,Rawalakot GPO,Azad Kashmir,12331
MACHHIAN WALA,61070,Vehari GPO,Punjab,61071
MACHI GOTH,64450,Rahimyar Khan GPO,Punjab,64451
MADARISA,62320,Bahawal Nagar GPO,Punjab,62321
MADIJI,78030,Shikarpur GPO,Sindh,78031
MADINA,50700,Gujrat GPO,Punjab,50701
MADYAN,19020,Saidu Sharif GPO,KPK,19021
MAHNI SIAL,58256,Khanewal GPO,Punjab,58257
MAHRABPUR,67000,Nawabshah GPO,Sindh,67001
MAHUTA MOHRA ,47620,Rawalpindi GPO,Punjab,47621
MAILSI,61200,Vehari GPO,Punjab,61201
MAILSI COLONY,61210,Vehari GPO,Punjab,61211
MAINDLA,12170,Rawalakot GPO,Azad Kashmir,12171
MAINI,23450,Sawabi GPO,KPK,23451
MAIRA (JHELUM),49510,Jhelum GPO,Punjab,49511
MAIRA (RAWALPINDI),47376,Rawalpindi GPO,Punjab,47377
MAIRA BALA,22560,Abbottabad GPO,KPK,22561
MAIWAND,83100,Loralai GPO,Balochistan,83101
MAKERWAL,42410,Mianwali GPO,Punjab,42411
MAKHAD ROAD,43000,Attock GPO,Punjab,43001
MAKHAD SHARIF,43010,Attock GPO,Punjab,43011
MAKHDOOMPUR PHOHARAN,58170,Khanewal GPO,Punjab,58171
MAKHDUM RASHID,59100,Multan GPO,Punjab,59101
MAKIANA,50920,Gujrat GPO,Punjab,50921
MALAK MALA,43412,Attock GPO,Punjab,43413
MALAKAND,23050,Batkhela HPO,KPK,23051
MALAKPUR,50094,Gujrat GPO,Punjab,50095
MALHAL MUGHLAN,48910,Chakwal GPO,Punjab,48911
MALHOWALI,43090,Attock GPO,Punjab,43091
MALIR CANTT,75070,Korangi GPO,Sindh,75071
MALIR CITY,75050,Korangi GPO,Sindh,75051
MALIR COLONY,75080,Korangi GPO,Sindh,75081
MALKA,50170,Gujrat GPO,Punjab,50171
MALKA HANS,57110,Sahiwal GPO,Punjab,57111
MALKEY KLAN,51380,Sialkot GPO,Punjab,51381
MALLOT SATTIAN,47250,Rawalpindi GPO,Punjab,47251
MALLOTE,12502,Bagh GPO,Azad Kashmir,12503
MAMESH KHEL,28140,Bannu GPO,KPK,28141
MAMU KANJAN,37000,Faisalabad GPO,Punjab,37001
MANA,32400,Dera Ghazi Khan GPO,Punjab,32401
MANAN WALA,39170,Qila Sheikhupura GPO,Punjab,39171
MANARA,48584,Chakwal GPO,Punjab,48585
MAND,92100,Turbat GPO,Balochistan,92101
MAND ,50622,Gujrat GPO,Punjab,50623
MANDHARA,29200,Dera Ismail Khan GPO,KPK,29201
MANDHOLE ,12180,Rawalakot GPO,Azad Kashmir,12181
MANDI AHMED ABAD,56000,Okara GPO,Punjab,56001
MANDI BAHAUDDIN G. P. O.,50400,Mandi Bahauddin GPO,Punjab,50401
MANDI FAIZ ABAD,39470,Qila Sheikhupura GPO,Punjab,39471
MANDI SADIQ GANJ,62210,Bahawal Nagar GPO,Punjab,62211
MANDIAN,22044,Abbottabad GPO,KPK,22045
MANDIR SYEDAN,51120,Sialkot GPO,Punjab,51121
MANDORI,24504,Charsadda GPO,KPK,24505
MANDRA,47670,Gujar Khan GPO,Punjab,47671
MANG,12300,Rawalakot GPO,Azad Kashmir,12301
MANGA MANDI,55270,Lahore GPO,Punjab,55271
MANGAT,50410,Mandi Bahauddin GPO,Punjab,50411
MANGHOTA BARAHMNAN,47542,Rawalpindi GPO,Punjab,47543
MANGLA CANTT,49430,Jhelum GPO,Punjab,49431
MANGLA DAM,10200,Mirpur GPO,Azad Kashmir,10201
MANGLORE,21330,Mansehra GPO,KPK,21331
MANGORA,19130,Saidu Sharif GPO,KPK,19131
MANGOTE,47710,Gujar Khan GPO,Punjab,47711
MANGOWAL,50640,Gujrat GPO,Punjab,50641
MANGROTHA,32120,Dera Ghazi Khan GPO,Punjab,32121
MANGWAL,48720,Chakwal GPO,Punjab,48721
MANJHI PUR,80200,Sibi GPO,Balochistan,80201
MANKARAI,22700,Haripur GPO,KPK,22701
MANKERA,30060,Bhakkar GPO,Punjab,30061
MANKI SHARIF,24140,Nowshera GPO,KPK,24141
MANNOO ABAD,39010,Qila Sheikhupura GPO,Punjab,39011
MANOCHAR,88250,Khuzdar GPO,Balochistan,88251
MANORA,75640,Karachi GPO,Sindh,75641
MANSAR CAMP,43550,Attock GPO,Punjab,43551
MANSEHRA CITY,21310,Mansehra GPO,KPK,21311
MANSEHRA GPO,21300,Mansehra GPO,KPK,21301
MANSOORA,54790,Lahore GPO,Punjab,54791
MANSORA HYDERABAD,70110,Hyderabad GPO,Sindh,70111
MANZAI,29460,Tank GPO,KPK,29461
MANZOOR HAYAT COLONY BHALWAL,40420,Sargodha GPO,Punjab,40421
MARA JAFFAR,45250,Islamabad GPO,Federal Capital,45251
MARAKI WAL,51230,Sialkot GPO,Punjab,51231
MARALA,51200,Sialkot GPO,Punjab,51201
MARDAN GPO,23200,Mardan GPO,KPK,23201
MARDAN SUGAR RESEARCH INSTITUTE,23210,Mardan GPO,KPK,23211
MARDWAL,41130,Khushab GPO,Punjab,41131
MARGHUZ,23530,Sawabi GPO,KPK,23531
MARH BALOCHAN,39570,Qila Sheikhupura GPO,Punjab,39571
MARI INDUS,42350,Mianwali GPO,Punjab,42351
MARTIN PUR,39160,Qila Sheikhupura GPO,Punjab,39161
MARYALA,43222,Attock GPO,Punjab,43223
MASHKEY,89200,Khuzdar GPO,Balochistan,89201
MASHOO KHEL,24810,Peshawar GPO,KPK,24811
MASTAJ,17020,Chitral GPO,KPK,17021
MASTUGE,17020,Mardan GPO,KPK,17021
MASTUNG,88200,Khuzdar GPO,Balochistan,88201
MASTUNG ROAD,88100,Khuzdar GPO,Balochistan,88101
MATHANI,24850,Peshawar GPO,KPK,24851
MATIARI,70150,Hyderabad GPO,Sindh,70151
MATLI,72010,Hyderabad GPO,Sindh,72011
MATORE,47374,Rawalpindi GPO,Punjab,47375
MATOTLI,59240,Multan GPO,Punjab,59241
MATSONABAD,50520,Mandi Bahauddin GPO,Punjab,50521
MATTA,19040,Saidu Sharif GPO,KPK,19041
MATTA MUGHAL KHEL,24640,Charsadda GPO,KPK,24641
MAYAR,23290,Mardan GPO,KPK,23291
MAYAR JANDOL,18550,Batkhela HPO,KPK,18551
MEHAR,76330,Dadu GPO,Sindh,76331
MEHDIABAD,16400,Skardu HPO,Northern Area,16401
MEHMOOD KOT ,34110,Muzaffargarh GPO,Punjab,34111
MEHMOODABAD ,75460,New Town GPO,Sindh,75461
MEHRAJKE,51430,Sialkot GPO,Punjab,51431
MEHRAN SUGAR MILLS (TANDO ALLAHYAR),70020,Hyderabad GPO,Sindh,70021
MEHRAN UNIVERSITY OF ENGINEERING,67480,Nawabshah GPO,Sindh,67481
MENA,77410,Larkana GPO,Sindh,77411
MERA GRAM,17000,Mardan GPO,KPK,17001
MIAN CHANNU,58000,Khanewal GPO,Punjab,58001
MIAN CHANNU RAILWAY STATION,58030,Khanewal GPO,Punjab,58031
MIAN WALI QURESHIAN,64320,Rahimyar Khan GPO,Punjab,64321
MIANA GONDAL,50580,Mandi Bahauddin GPO,Punjab,50581
MIANI,40550,Sargodha GPO,Punjab,40551
MIANI BEACH,90200,Khuzdar GPO,Balochistan,90201
MIANWAL,50490,Mandi Bahauddin GPO,Punjab,50491
MIANWALA,43244,Attock GPO,Punjab,43245
MIANWALI G.P.O.,42200,Mianwali GPO,Punjab,42201
MIANWALI P.A.F COLONY,42206,Mianwali GPO,Punjab,42207
MICHAN KHELADDA LAKKI MARWAT,28520,Bannu GPO,KPK,28521
MIDH RANJHA,40460,Sargodha GPO,Punjab,40461
MILITARY FARMS OKARA,56350,Okara GPO,Punjab,56351
MILLAT TOWN,38070,Faisalabad GPO,Punjab,38071
MINCHIN ABAD,62230,Bahawal Nagar GPO,Punjab,62231
MINWAL,48690,Chakwal GPO,Punjab,48691
MIR ALI,28170,Bannu GPO,KPK,28171
MIR ALI ADDA,28180,Bannu GPO,KPK,28181
MIRAN MACHI,77214,Larkana GPO,Sindh,77215
MIRJAL,43320,Attock GPO,Punjab,43321
MIRO KAHN,77270,Larkana GPO,Sindh,77271
MIRPUR BATHORO,73030,Hyderabad GPO,Sindh,73031
MIRPUR BURIRO,79120,Jacobabad GPO,Sindh,79121
MIRPUR CITY ,10250,Kotli GPO,Azad Kashmir,10251
MIRPUR GPO,10250,Mirpur GPO,Azad Kashmir,10251
MIRPUR KHAS GPO,69000,Mirpur Khas GPO,Sindh,69001
MIRPUR MATHELO,65040,Sukkur GPO,Sindh,65041
MIRPUR SAKRO,73240,Hyderabad GPO,Sindh,73241
MIRWAH,66150,Khairpur GPO ,Sindh,66151
MIRWAH GORCHANI,69370,Mirpur Khas GPO,Sindh,69371
MIRYAN,28050,Bannu GPO,KPK,28051
MIRZA,43680,Attock GPO,Punjab,43681
MISALI MIDDLE PUBLIC SCHOOL PIR JIHANIA,34220,Muzaffargarh GPO,Punjab,34221
MISGAR,15900,Gilgit GPO,Northern Area,15901
MISRI BANDA,24060,Nowshera GPO,KPK,24061
MISSA KASWAL,47980,Gujar Khan GPO,Punjab,47981
MISSAN WADI,70014,Hyderabad GPO,Sindh,70015
MITHA KHEL,27100,Karak GPO,KPK,27101
MITHA TIWANA,41250,Khushab GPO,Punjab,41251
MITHAL,43210,Attock GPO,Punjab,43211
MITHAN KOT,33600,Dera Ghazi Khan GPO,Punjab,33601
MITHI,69230,Mirpur Khas GPO,Sindh,69231
MITHIANI,67100,Nawabshah GPO,Sindh,67101
MITHRI VILLAGE,81350,Sibi GPO,Balochistan,81351
MITRAN WALI,52220,Sialkot GPO,Punjab,52221
MITRU,61160,Vehari GPO,Punjab,61161
MOAZAM ABAD ,40430,Sargodha GPO,Punjab,40431
MOCHH,42310,Mianwali GPO,Punjab,42311
MODEL COLONY KORANGI,75100,Korangi GPO,Sindh,75101
MODEL TOWN HUMAK ,45700,Islamabad GPO,Federal Capital,45701
MODEL TOWN LAHORE,54700,Lahore Cantt GPO,Punjab,54701
MOENJODARA,77070,Larkana GPO,Sindh,77071
MOGHALPURA,54840,Lahore GPO,Punjab,54841
MOHABAT DERO,67060,Nawabshah GPO,Sindh,67061
MOHABATABAD,23660,Mardan GPO,KPK,23661
MOHABATI KILLA,27210,Karak GPO,KPK,27211
MOHANDRI BAZAR,21220,Mansehra GPO,KPK,21221
MOHLANKE,52072,Gujranwala GPO,Punjab,52073
MOHRA BHUTTIAN,47920,Gujar Khan GPO,Punjab,47921
MOHRA NOORI,47884,Gujar Khan GPO,Punjab,47885
MOHRA SAYYEDAN,47224,Murree GPO,Punjab,47225
MOHRA SHARIF KOTLI,11180,Kotli GPO,Azad Kashmir,11181
MOHRI,50110,Gujrat GPO,Punjab,50111
MOHRI FARMAN SHAH,12400,Rawalakot GPO,Azad Kashmir,12401
MOHSINABAD,84810,Loralai GPO,Balochistan,84811
MOIL,10012,Bhimber GPO,Azad Kashmir,10013
MOINUDDIN PUR,50760,Gujrat GPO,Punjab,50761
MONA REMOUNT DEPOT,50560,Mandi Bahauddin GPO,Punjab,50561
MONDKA,34384,Muzaffargarh GPO,Punjab,34385
MONG,50390,Mandi Bahauddin GPO,Punjab,50391
MONG BAJRI,12470,Bagh GPO,Azad Kashmir,12471
MONO NAGAR,43720,Attock GPO,Punjab,43721
MONOO PUR,39320,Qila Sheikhupura GPO,Punjab,39321
MOORAT,43396,Attock GPO,Punjab,43397
MORE KHUNDA,39120,Qila Sheikhupura GPO,Punjab,39121
MORI,40342,Sargodha GPO,Punjab,40343
MORO,67130,Nawabshah GPO,Sindh,67131
MOWARA,47370,Rawalpindi GPO,Punjab,47371
MUBARIKPUR,63290,Bahawalpur GPO,Punjab,63291
MUBBARIK ALI BURIRO,67150,Nawabshah GPO,Sindh,67151
MUHALIWALA ,52390,Gujranwala GPO,Punjab,52391
MUHAMMAD PUR,33300,Dera Ghazi Khan GPO,Punjab,33301
MUHAMMAD SALAM PALLI,69080,Mirpur Khas GPO,Sindh,69081
MULLAZAI,29440,Tank GPO,KPK,29441
MULTAN ARMY AVIATION BASE ,60050,Multan GPO,Punjab,60051
MULTAN FERTILIZER PROJECT,59060,Multan GPO,Punjab,59061
MULTAN GPO,60000,Multan GPO,Punjab,60001
MULTAN KHURD,48030,Talagang GPO,Punjab,48031
MUMTAZ ABAD,60600,Multan GPO,Punjab,60601
MUNDA,18500,Batkhela HPO,KPK,18501
MUNDEKE GORAYA,51140,Sialkot GPO,Punjab,51141
MUNDEY,48670,Chakwal GPO,Punjab,48671
MURAD MEMON GOTH (KP-974),75040,Korangi GPO,Sindh,75041
MURADPUR,21360,Mansehra GPO,KPK,21361
MURALA,50354,Mandi Bahauddin GPO,Punjab,50355
MURGHA,85100,Loralai GPO,Balochistan,85101
MURID,48610,Chakwal GPO,Punjab,48611
MURID WALA,37020,Faisalabad GPO,Punjab,37021
MURIDKE,39000,Qila Sheikhupura GPO,Punjab,39001
MURREE BREWARY ,46120,Rawalpindi GPO,Punjab,46121
MURREE CLIFDON,47118,Murree GPO,Punjab,47119
MURREE GPO,47150,Murree GPO,Punjab,47151
MURYALI,29080,Dera Ismail Khan GPO,KPK,29081
MUSA,43460,Attock GPO,Punjab,43461
MUSA KEL,84700,Loralai GPO,Balochistan,84701
MUSA KHEL,42210,Mianwali GPO,Punjab,42211
MUSA ZAI,29320,Dera Ismail Khan GPO,KPK,29321
MUSA ZAI,24360,Peshawar GPO,KPK,24361
MUSLIM ABAD,21020,Mansehra GPO,KPK,21021
MUSLIM BAGH,85500,Loralai GPO,Balochistan,85501
MUSTAFABAD KASUR,55110,Kasur GPO,Punjab,55111
MUZAFFARABAD GPO ,13100,Muzaffarabad GPO,Azad Kashmir,13101
MUZAFFARGARH GPO,34200,Muzaffargarh GPO,Punjab,34201
NABI SIR ROAD,69200,Mirpur Khas GPO,Sindh,69201
NAGAR,15650,Gilgit GPO,Northern Area,15651
NAGAR ,17240,Chitral GPO,KPK,17241
NAGAR (CHITRAL),17240,Mardan GPO,KPK,17241
NAGAR PARKAR,69260,Mirpur Khas GPO,Sindh,69261
NAGIAL,49324,Jhelum GPO,Punjab,49325
NAGIAL CHAMKOWN VALLEY,49122,Jhelum GPO,Punjab,49123
NAGRI BALA,22260,Abbottabad GPO,KPK,22261
NAGRI TOTLIAL,22350,Abbottabad GPO,KPK,22351
NAGRIAN,50934,Gujrat GPO,Punjab,50935
NAINA KOT,51820,Narowal GPO,Punjab,51821
NAKA AFGHANAN,43030,Attock GPO,Punjab,43031
NAKA KAHUT,48110,Talagang GPO,Punjab,48111
NAKIAL,11170,Kotli GPO,Azad Kashmir,11171
NALIAN,12070,Rawalakot GPO,Azad Kashmir,12071
NALLA MUSILMANAN,47430,Rawalpindi GPO,Punjab,47431
NAMLI MAIRA,22250,Abbottabad GPO,KPK,22251
NANDO SHAHAR,72250,Hyderabad GPO,Sindh,72251
NANDRAKABAD,43052,Attock GPO,Punjab,43053
NANKANA SAHIB,39100,Qila Sheikhupura GPO,Punjab,39101
NAODERO,77360,Larkana GPO,Sindh,77361
NAR,11040,Kotli GPO,Azad Kashmir,11041
NAR MUZAFFAR KHAN,28340,Bannu GPO,KPK,28341
NARA,43120,Attock GPO,Punjab,43121
NARA,47384,Rawalpindi GPO,Punjab,47385
NARA,22550,Abbottabad GPO,KPK,22551
NARALI,47760,Gujar Khan GPO,Punjab,47761
NARAN,21200,Mansehra GPO,KPK,21201
NARANG MANDI,39050,Qila Sheikhupura GPO,Punjab,39051
NARH,47360,Rawalpindi GPO,Punjab,47361
NARI,32050,Dera Ghazi Khan GPO,Punjab,32051
NAROWAL GPO,51600,Narowal GPO,Punjab,51601
NARTOPA,43450,Attock GPO,Punjab,43451
NARYAB,26230,Kohat GPO,KPK,26231
NASARPUR,70040,Hyderabad GPO,Sindh,70041
NASIR BAGH,24700,Peshawar GPO,KPK,24701
NASIRABAD,15550,Gilgit GPO,Northern Area,15551
NASIRABAD,92900,Turbat GPO,Balochistan,92901
NASIRABAD LARKANA,77020,Larkana GPO,Sindh,77021
NASRAT KHEL,26160,Kohat GPO,KPK,26161
NATHIA GALI,22280,Abbottabad GPO,KPK,22281
NATIONAL WOOD INDUSTRIES LALA MUSA,50220,Gujrat GPO,Punjab,50221
NAU KOT,69220,Mirpur Khas GPO,Sindh,69221
NAUABAD ,68080,Sanghar GPO,Sindh,68081
NAULAKHA,54010,Lahore GPO,Punjab,54011
NAUSHERA VIRKAN,52370,Gujranwala GPO,Punjab,52371
NAUSHERO FEROZ,67370,Nawabshah GPO,Sindh,67371
NAWAB JESSI KHAN ,12304,Rawalakot GPO,Azad Kashmir,12305
NAWABSHAH GPO,67450,Nawabshah GPO,Sindh,67451
NAWAN KILLI,23420,Mardan GPO,KPK,23421
NAWAN LAHORE,36280,T.T Singh GPO,Punjab,36281
NAWAN SHAHR,22080,Abbottabad GPO,KPK,22081
NAWAZISH NAGHAR,35170,Jhang GPO,Punjab,35171
NAWSHERA (KHUSHAB),41100,Khushab GPO,Punjab,41101
NEW CHHOR,69094,Mirpur Khas GPO,Sindh,69095
NEW DAMBALO,72052,Hyderabad GPO,Sindh,72053
NEW JATOI,67110,Nawabshah GPO,Sindh,67111
NEW KARACHI,75850,Alhydri GPO,Sindh,75851
NEW MULTAN,60650,Multan GPO,Punjab,60651
NEW TOWN G.P.O.,74800,New Town GPO,Sindh,74801
NIAZ BEG THOKAR,53700,Lahore GPO,Punjab,53701
NICHARA,88350,Khuzdar GPO,Balochistan,88351
NICHINDI,48900,Chakwal GPO,Punjab,48901
NIHANG,40230,Sargodha GPO,Punjab,40231
NILA,48730,Chakwal GPO,Punjab,48731
NILHAD,43280,Attock GPO,Punjab,43281
NILORE,45650,Islamabad GPO,Federal Capital,45651
NISATTA,24450,Charsadda GPO,KPK,24451
NISHTAR TOWN,54762,Lahore Cantt. GPO,Punjab,54763
NITHRIKE ,52334,Gujranwala GPO,Punjab,52335
NIZAM ABAD,52020,Gujranwala GPO,Punjab,52021
NIZAM BAZAR,28030,Bannu GPO,KPK,28031
NIZAM PUR,24010,Nowshera GPO,KPK,24011
NIZAM PUR GUJRANWALA,52410,Gujranwala GPO,Punjab,52411
NOKUNDI,95050,Quetta GPO,Balochistan,95051
NONAR,51580,Narowal GPO,Punjab,51581
NOON SUGAR MILLS BHALWAL,40400,Sargodha GPO,Punjab,40401
NOOR JHANIAN,67180,Nawabshah GPO,Sindh,67181
NOOR SHAH,57080,Sahiwal GPO,Punjab,57081
NOORIABAD,73090,Hyderabad GPO,Sindh,73091
NOORPUR NAURANGA,63300,Bahawalpur GPO,Punjab,63301
NOORPUR SHAHAN,45300,Islamabad GPO,Federal Capital,45301
NOWSHERA CITY,24110,Nowshera GPO,KPK,24111
NOWSHERA GPO,24100,Nowshera GPO,KPK,24101
NOWSHERA KAKEZIAN,51520,Sialkot GPO,Punjab,51521
NUR PUR,48590,Chakwal GPO,Punjab,48591
NUR PUR THAL,41270,Khushab GPO,Punjab,41271
NURKOT,51770,Narowal GPO,Punjab,51771
NUSHKI,95200,Quetta GPO,Balochistan,95201
NUSRAT 60 MILE MORI,67430,Nawabshah GPO,Sindh,67431
NUTKANI,32020,Dera Ghazi Khan GPO,Punjab,32021
ODEROLAL R.S.,70090,Hyderabad GPO,Sindh,70091
ODEROLAL VILLAGE,70092,Hyderabad GPO,Sindh,70093
OGHI,21400,Mansehra GPO,KPK,21401
OKARA AMMUNITION DEPOT,56410,Okara GPO,Punjab,56411
OKARA CANTONMENT,56400,Okara GPO,Punjab,56401
OKARA GPO,56300,Okara GPO,Punjab,56301
OLDING,16600,Skardu HPO,Northern Area,16601
ORANGI TOWN,75800,Alhydri GPO,Sindh,75801
ORMARA,91400,Turbat GPO,Balochistan,91401
OUCH (DIR),18750,Batkhela HPO,KPK,18751
OUDHERWAL,48660,Chakwal GPO,Punjab,48661
P. A. F. SAKESAR,41160,Khushab GPO,Punjab,41161
P.A.C. KAMRA,43570,Attock GPO,Punjab,43571
P.A.F. BADIN,72210,Hyderabad GPO,Sindh,72211
P.A.F. BASE RAFIQI SHOR KOT,35030,Jhang GPO,Punjab,35031
P.A.F. COLONY SHOR KOT,35020,Jhang GPO,Punjab,35021
P.A.F. RISALAY WALA,37510,Faisalabad GPO,Punjab,37511
P.M.O COMPLEX WAH,47086,Wah Cantt. GPO,Punjab,47087
PABBI,24210,Nowshera GPO,KPK,24211
PABBI RAILWAY STATION,24220,Nowshera GPO,KPK,24221
PACCA ANNA,36200,T.T Singh GPO,Punjab,36201
PACHAND,48200,Talagang GPO,Punjab,48201
PACHIOT,12430,Rawalakot GPO,Azad Kashmir,12431
PADHRAR,41060,Khushab GPO,Punjab,41061
PADHRI,49328,Jhelum GPO,Punjab,49329
PADIDAN,67330,Nawabshah GPO,Sindh,67331
PADIDAN TOWN,67340,Nawabshah GPO,Sindh,67341
PAF AIRPORT,65310,Sukkur GPO,Sindh,65311
PAHARPUR,29160,Dera Ismail Khan GPO,KPK,29161
PAI,29430,Tank GPO,KPK,29431
PAI KHEL,42300,Mianwali GPO,Punjab,42301
PAIL,41050,Khushab GPO,Punjab,41051
PAK FOREST INSTITUTE PESHAWAR,25130,Peshawar GPO,KPK,25131
PAK ORDINANCE FACTORIES HAVILIAN,22510,Abbottabad GPO,KPK,22511
PAK PATTAN SHARIF,57400,Sahiwal GPO,Punjab,57401
PAK SAUDI FERTILIZAR MIRPUR MATHELO,65050,Sukkur GPO,Sindh,65051
PAK. MACHINE TOOL FACTORY KARACHI,75030,Korangi GPO,Sindh,75031
PAK. STEEL MILLS KARACHI,75000,Korangi GPO,Sindh,75001
PAK. STEEL MILLS TOWNSHIP KARACHI,75010,Korangi GPO,Sindh,75011
PAKHA GHULAM,24370,Peshawar GPO,KPK,24371
PAKHONAR,12130,Rawalakot GPO,Azad Kashmir,12131
PAKISTAN ORDINANCE FACTORY GUDWAL,47030,Wah Cantt. GPO,Punjab,47031
PAKISTAN TOWN (KORANG TOWN),45720,Islamabad GPO,Federal Capital,45721
PAKKI SHAH MARDAN,42204,Mianwali GPO,Punjab,42205
PALAK ,10520,Mirpur GPO,Azad Kashmir,10521
PALANDRI,12010,Rawalakot GPO,Azad Kashmir,12011
PALLAH,63030,Bahawalpur GPO,Punjab,63031
PALO DHERI,23380,Mardan GPO,KPK,23381
PANGRIO,72130,Hyderabad GPO,Sindh,72131
PANIALA,29000,Dera Ismail Khan GPO,KPK,29001
PANIAN,22690,Haripur GPO,KPK,22691
PANIOLA,12420,Rawalakot GPO,Azad Kashmir,12421
PANJ GIRAIN,30120,Bhakkar GPO,Punjab,30121
PANJAR,47350,Rawalpindi GPO,Punjab,47351
PANJERA,11120,Kotli GPO,Azad Kashmir,11121
PANJERI,10400,Mirpur GPO,Azad Kashmir,10401
PANJGUR,93000,Turbat GPO,Balochistan,93001
PANJNAD,63420,Bahawalpur GPO,Punjab,63421
PANJPIR,23630,Mardan GPO,KPK,23631
PANNU AKIL CANTT.,65130,Sukkur GPO,Sindh,65131
PANO AKIL,65120,Sukkur GPO,Sindh,65121
PANTHAL,12034,Rawalakot GPO,Azad Kashmir,12035
PANWAN,39650,Qila Sheikhupura GPO,Punjab,39651
PAPNAKHA,52326,Gujranwala GPO,Punjab,52327
PARA BEG,17140,Mardan GPO,KPK,17141
PARACHINAR,26300,Kohat GPO,KPK,26301
PARHENA,21370,Mansehra GPO,KPK,21371
PARI DARWEZA,49210,Jhelum GPO,Punjab,49211
PAROA,29230,Dera Ismail Khan GPO,KPK,29231
PARYAL,47630,Rawalpindi GPO,Punjab,47631
PASNI,91300,Turbat GPO,Balochistan,91301
PASRUR,51480,Sialkot GPO,Punjab,51481
PATAK,93100,Turbat GPO,Balochistan,93101
PATTAN,20200,Mansehra GPO,KPK,20201
PATTIKA,13210,Muzaffarabad GPO,Azad Kashmir,13211
PATTOKI,55300,Kasur GPO,Punjab,55301
PATWALI,48052,Talagang GPO,Punjab,48053
PAWAKA,24820,Peshawar GPO,KPK,24821
PEEROWAL,58152,Khanewal GPO,Punjab,58153
PERO SHAH,50950,Gujrat GPO,Punjab,50951
PESHAWAR C.T. TRAINING SCHOOL ,25160,Peshawar GPO,KPK,25161
PESHAWAR EDUCATION BOARD,25110,Peshawar GPO,KPK,25111
PESHAWAR GPO,25000,Peshawar GPO,KPK,25001
PESHAWAR INDUSTRIAL ESTATE,24720,Peshawar GPO,KPK,24721
PESHAWAR POLY TECHNICAL COLLEGE ,25210,Peshawar GPO,KPK,25211
PESHAWAR UNIVERSITY ,25120,Peshawar GPO,KPK,25121
PESHORA,21042,Mansehra GPO,KPK,21043
PETARO CADET COLLEGE,76120,Hyderabad GPO,Sindh,76121
PHAGWARI,47200,Murree GPO,Punjab,47201
PHALIA,50430,Mandi Bahauddin GPO,Punjab,50431
PHAPRIL,47216,Rawalpindi GPO,Punjab,47217
PHUKLIAN,51280,Sialkot GPO,Punjab,51281
PHUL,67380,Nawabshah GPO,Sindh,67381
PHULAR WAN,40570,Sargodha GPO,Punjab,40571
PHULJI,76220,Dadu GPO,Sindh,76221
PHULRA,21380,Mansehra GPO,KPK,21381
PIANANWAL,49100,Jhelum GPO,Punjab,49101
PIDRAN ,88360,Khuzdar GPO,Balochistan,88361
PIND DADAN KHAN,49040,Jhelum GPO,Punjab,49041
PIND HASHAM KHAN,22710,Haripur GPO,KPK,22711
PIND KALAN,10510,Mirpur GPO,Azad Kashmir,10511
PIND KARGO KHAN,22110,Abbottabad GPO,KPK,22111
PIND RAJWAL,49512,Jhelum  GPO,Punjab,49513
PIND SULTANI,43230,Attock GPO,Punjab,43231
PINDI BHATIAN,52180,Gujranwala GPO,Punjab,52181
PINDI GHEB,43260,Attock GPO,Punjab,43261
PINDI GUJRAN,48890,Chakwal GPO,Punjab,48891
PINDI KALU,50306,Mandi Bahauddin GPO,Punjab,50307
PINDI SAIDPUR,49110,Jhelum GPO,Punjab,49111
PINDI SARHAL,43122,Attock GPO,Punjab,43123
PINDI SHIEKH MUSA,37140,Faisalabad GPO,Punjab,37141
PINDOORI (CHAK BALI  KHAN),47610,Rawalpindi GPO,Punjab,47611
PINDORI,47950,Gujar Khan GPO,Punjab,47951
PION,16810,Skardu HPO,Northern Area,16811
PIPAL BAZAR,28150,Bannu GPO,KPK,28151
PIR BABA,19280,Mardan GPO,KPK,19281
PIR BUX BHUTTO,77370,Larkana GPO,Sindh,77371
PIR KHEL,18760,Batkhela HPO,KPK,18761
PIR MAHAL,36300,T.T Singh GPO,Punjab,36301
PIR SABAQ,24050,Nowshera GPO,KPK,24051
PIR WADHAI,46350,Rawalpindi GPO,Punjab,46351
PIRA FATHIAL,48120,Talagang GPO,Punjab,48121
PIRAN GHAIB,59030,Multan GPO,Punjab,59031
PIRPAI,24180,Nowshera GPO,KPK,24181
